slug,title,career_code,education,sponsor,career_grades,type_works,posts,tasks_count
中式烹调师,中式烹调师,4-03-02-01,初中毕业（或相当文化程度）,重庆商务职业学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","药膳制作师,火锅料理师","中餐厨师,药膳制作师,火锅料理师,行政总厨,营养配餐员,营养师,食品加工人员,食品安全管理师",11
中式面点师,中式面点师,4-03-02-02,高中毕业（或同等学力）,牡丹江技师学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",牛肉拉面制作师,"面点学徒,面点师,营养配餐员,厨房运行管理,面点专业教师",5
二手车经纪人,二手车经纪人,4-01-03-04,高中毕业（或同等学力）,中国汽车流通协会,"四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"二手车经纪人,二手车销售专员,二手车收购专员  ,二手车置换顾问,二手车交易主管",7
人工智能训练师,人工智能训练师,4-04-05-05,初中毕业（或相当文化程度）,瓴羊智能,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","数据标注员 ,人工智能算法测试员","数据标注员,AI训练师,AI产品经理,自然语言处理工程师,机器学习工程师",5
会展设计师,会展设计师,4-08-08-21,高中毕业（或同等学力）,烟台胶东在线网络传媒有限公司,"四级/中级工,三级/高级工,二级/技师",,"平面设计师,室内设计师,活动策划平面设计,CAD设计/制图,企划设计专员,展厅设计师,空间设计,3D建模师",10
供应链管理师,供应链管理师,4-02-06-05,大学专科学历（或高等职业学校毕业）,络捷斯特,"三级/高级工,二级/技师,一级/高级技师",,"需求计划专员,供应链SAP系统专员,供应链数据分析师,采购跟单,采购工程师,生产计划专员,物料控制专员,产能规划师,物流跟单,仓储管理员,物流规划师",7
保健按摩师,保健按摩师,4-10-04-02,初中毕业（或相当文化程度）,北京成人按摩学校,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","脊柱按摩师,足部按摩师,反射疗法师","中医推拿按摩师,推拿技术总监,艾灸师,康复理疗师,小儿推拿师,足疗技师",6
保育师,保育师,4-10-01-03,高中毕业（或同等学力）,春苗职业教育,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",托育师,"保育员（幼儿园）,保育师（托育机构）,保育师（儿童福利院）,住家早教保育师（家庭）",6
信用管理师,信用管理师,4-07-02-04,大学专科学历（或高等职业学校毕业）,山西创新金融,"四级/中级工,三级/高级工,二级/技师,一级/高级技师","数据治理员,尽职调查员,模型开发师,信用分析师,信用评价师","信用风险管理专员,信用评估师,信用分析师,风险管理专员,信用管理岗专员",8
健康照护师,健康照护师,4-14-01-03,初中毕业（或相当文化程度）,江西省研究型医院学会,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",长期照护师,"居家老人照护师,病患照护师,社区照护师,养老机构照护师,妇幼照护师,老年健康管家,健康照护培训师,日间照护师,社区预防保健查体人员,健康照护服务管理人员,健康照护技术总监,康养机构运营管理人员,健康照护平台管理人员,健康照护师人力资源管理人员,个体化健康照护方案制定师",7
